"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
241,20,M/s Greenko Group,"Please let us know the information and / or site access rights available to the USER
during Operational Period",Not relevant to RFP
242,21,M/s Greenko Group,"There are multiple areas where the USER is expected to re-imburse the costs incurred for activities across various stages, Request NPCIL to provide an estimate of likely costs under various heads for each stage. Also would NPCIL agree for an external third party
audit on the costs incurred",Relevant Details will be shared after signing NDA
243,22,M/s Greenko Group,"Please clarify the rights available with USER on the project construction i.e rights
towards controlling costs and construction timelines",Project construction is in scope of USER.
244,23,M/s Greenko Group,"Request to provide key terms under the various agreements referred in this document
to be entered between USER and NPCIL.",Relevant Details will be shared after signing NDA
245,24,M/s Greenko Group,"QR suggests the USER to be a power consumer, where as the background section suggests that USER can identify power usage at a later stage. Request NPCIL to allow
IPP to participate without any restriction on power consumption",Refer Annexure-3 and Corrigendum-IV of RFP
246,25,M/s Greenko Group,"Request NPCIL to clarify how may GW / qualified parties will be short-listed for next
stage",Not relevant to RFP
247,26,M/s Greenko Group,"What activities are approved within 1/0.5 km, 1.5 km, 5 km zones? (Solar or other activity be explored in the untilised areas)","Setting up wind/solar power plants within spare land available in the NPP site and its adjacent areas is subject to the hazard analysis,
security aspects and regulatory approval."
248,27,M/s Greenko Group,"How much heavy water is required per MU? (3 tonnes per reactor is at what PLF?) What is the strategy for replenishment ? How much fuel is provided by DAE in one
delivery?",Refer Annexure-2 regarding operating expenditure
249,28,M/s Greenko Group,"If DAE is tariff approver, please share DAE tariff orders for latest plants in case of 3rd
party sales",RFP terms and conditions will apply.
250,29,M/s Greenko Group,"Request to please share the NDA, Post this, will you share: (a) Designs/BOQs for Capex
comfort, (b) vendors list (c) site visits, (d) list of document drafts","Refer Corrigendum-IV of RFP regarding NDA and sharing of relevant
documents."
251,30,M/s Greenko Group,"Why has the capex per MW increased from INR 5-6 Cr per MW (in 2010-11) to INR 15- 22 Cr per MW (in 2022). Is it due to (a) multiple reactors in one complex?, (b) design variations due to change in scale, from 220 MW to 700-1000 MW?",Not relevant to RFP
252,31,M/s Greenko Group,"What is the split of: (a) fuel charge (INR per unit), (b) Heavy water (INR per unit), (c) manpower & admin expenses  (INR per unit) for 220 MW reactors over last 5 years. Can you also please provide a detailed break up of all operating costs for an existing power plant of 220 MW. Also any proforma break up of various operating costs of the upcoming 2 X 220 MW NPP being proposed as part of this process",Relevant information will be shared on signing of NDA.
253,32,M/s Greenko Group,Provide instances of historical shutdowns due to lack of fuel availability? How many such instances happened and how many eff. days of power loss on average per plant? What are the fuel security standards/ approaches to ensure long term fuel supply to the NPP,Query not relevant to RFP
254,33,M/s Greenko Group,"There was a reference to MOP submission to exempt BSR 220 MW from existing captive clause request. Please elaborate and share information on this in terms of
representation to MOP, etc.",Query not relevant to RFP
255,34,M/s Greenko Group,"Does NPCIL have enough personnel to manage all NPCIL + Private plants once
operational, or can private player provide teams to be trained/recruited by NPCIL and managed? What is the plan for this?",Query not relevant to RFP
256,35,M/s Greenko Group,"Please provide the split of Opex figure - INR 47-50 lakhs per MW (manpower, repairs,
mainttenance, insurance, admin, etc.)",Relevant information will be shared on signing of NDA.
257,36,M/s Greenko Group,"Request you to please provide one tariff model utilised for any of the NPP to arrive at
the tariff for supplying to utilities",Relevant information will be shared on signing of NDA.
258,37,M/s Greenko Group,"Can the current list of vendors handle the order book (given their designed capacity)
from planned and future capacity additions? If not, can USER bring in other reputed vendors?",User can recommend new vendors for qualification by NPCIL.
259,38,M/s Greenko Group,"Can USER have flexibility in executing construction of non-reactor components, other
civil work, etc. as part of the overall facility?","Project construction is in scope of USER under supervision and QA
coverage by NPCIL."
260,39,M/s Greenko Group,"Can NPCIL link expertise charges (60 paisa per unit with annual escalation) to specific
plant performance thresholds (e.g., PLF and availability)?","The quantum of expertise charges under the RFP is the decision of
Govt  of India."
261,40,M/s Greenko Group,"Can USER be allowed to sell surplus power to Power Exchange in addition to other
customers?",RFP terms & conditions shall prevail.
262,41,M/s Greenko Group,Will USER be allowed to set up wind/solar power plants within spare land available in the NPP site?,"Setting up wind/solar power plants within spare land available in the NPP site is subject to the hazard analysis, security aspects and
regulatory approval."
263,42,M/s Greenko Group,"Please provide details on the asset transfer mechanism to NPCIL (for O&M) and its
impact on project finance.",RFP terms & conditions shall prevail.
264,1,M/s HPCL Mittal Energy Limited,"It is mentioned that the nuclear power plant (NPP) will be eligible for status of captive power plant, and necessary amendment of Electricity Rules 2005 is under consideration by  Ministry  of  Power.   NPCIL  to  clarify  whether  we  can  withdraw  their  proposal (without  any  commercial  implication  to  USER)  in  the  event  of  this  is  not  getting amended before signing of contract with NPCIL for BSR project implementation. Since we are the commercial organisation, for the balance power for commercial sale will be allowed on the terrif discovered by the market, rather DAE to approve terrif.","Following notification by MoP, the amendment will be made available. Tariff for sale of power is clarified in RFP."
265,2,M/s HPCL Mittal Energy Limited,"It  is  mentioned  in  the  RFP,  that  in  case  we  wishes  to  sell  the  electricity  to  other customers,  the  tariff  will  be  determined  by  the  DAE  as  per  Atomic  Energy  Act  1962. However, in the Annexure - 3, as Qualification Requirements (QR), it is stated that user shall have an industrial/commercial unit that has requirement of about 2500 MUs per year.   The  quantum of  captive  consumption  mentioned is almost 100%  of generation potential  of  2x200  MW  units.   NPCIL  to  clarify  whether  we  can  sell  the  electricity  to other consumers in case captive consumption is lower than generation potential, and on market drived terrif as we are the commercial organisation.",Tariff for sale of power is clarified in RFP.
266,3,M/s HPCL Mittal Energy Limited,"NPCIL to share the indicative cost for carrying out detailed site evaluation studies per site.  This will help us to offer as many sites as possible to have parallel evaluation of sites to shorten the pre-project activity time.  Also, NPCIL can share the manpower cost that would be charged by them for pre-project activities.",Details of investigations/studies to be carried out at site along with the expert agencies will be shared by NPCIL. USER to obtain the cost estimate from the respective agencies.
267,4,M/s HPCL Mittal Energy Limited,"We request NPCIL to share the basis of estimation of expertise fees to be payable by us (60 paise/kWhr).  This would result in a considerable mark up on the cost of electricity for  the  process  industries  and  make  the  nuclear  power  less  attractive.  Further  if expertise royalty is charged on  the  basis of  output, NPCIL may  please  commit  on the CAPEX and OPEX. Please let us know if this is negotiable.",The quantum of expertise charges under the RFP is the decision of Govt  of India.
268,5,M/s HPCL Mittal Energy Limited,"We  request  NPCIL  to  share  the  present-day  cost  for  taking  financial  security  and/or
insurance policy for compliance to CLND Act.  This will help us to appropriately consider in the investment decision.",Relevant information will be shared on signing of NDA.
269,6,M/s HPCL Mittal Energy Limited,NPCIL to provide the prevailing decommissioning levy as per DAE notification and how this will be charged.  We presumes that this will be covered in the tariff calculation.,May be taken up with DAE.
270,7,M/s HPCL Mittal Energy Limited,"NPCIL has indicated the break up of operating expenses viz fuel charges, heavy water charges, O&M expenditure, leavey on nuclear power (if any), insurance charges, water charges, any other taxes (if applicable) etc.  NPCIL to provide the break-up of these cost as per prevailing norms and present-day costs.",Relevant information will be shared on signing of NDA.
